Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Galaxy-14,USA,-95.712891,37.09024,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,Radar Imaging,GEO,Equatorial,-124.96,35776,35795,0.000225,0.01,1436.07,2086,2630,4700,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat ,2005-030A,28790,2005
Galaxy-15,USA,-3.435973,55.378052,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,Radar Imaging,GEO,Equatorial,-132.97,35776,35795,0.000225,0.06,1436.07,2033,2630,4700,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2005-041A,28884,2005
Galaxy-16,USA,-3.435973,55.378052,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,Radar Imaging,GEO,Equatorial,-99.02,35775,35798,0.000273,0.01,1436.1,4640,2630,10000,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2006-023A,29236,2006
Galaxy-17,USA,-95.712891,37.09024,"Intelsat, Ltd.",USA,Commercial,Communications,Radar Imaging,GEO,Equatorial,-91.01,35774,35799,0.000297,0.02,1436.1,4100,2630,9500,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2007-016B,31307,2007
Galaxy-28,USA,-95.712891,37.09024,"Intelsat, Ltd.",USA,Commercial,Communications,Optical Imaging,GEO,Equatorial,-88.96,35775,35798,0.000273,0.01,1436.1,5493,2630,16000,"13 trs,",Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2005-022A,28702,2005
Galaxy-3C,USA,-3.435973,55.378052,"PanAmSat (Intelsat, Ltd.)/DirecTV L.A.",USA,Commercial,Communications,Optical Imaging,GEO,Equatorial,-95.02,35784,35788,4.74E-05,0.01,1436.11,4860,2873,18000,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2002-030A,27445,2002
Genesis-1,USA,-95.712891,37.09024,Bigelow Aerospace,USA,Commercial,Technology Development,Optical Imaging,LEO,Non-Polar Inclined,0,522,569,0.0034,64.5,95.6,1360,2500,14000,5,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2006-029A,29252,2006
Genesis-2,USA,-95.712891,37.09024,Bigelow Aerospace,USA,Commercial,Technology Development,Optical Imaging,LEO,Non-Polar Inclined,0,508,586,0.00564,64.5,95.6,1360,2500,14000,5,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2007-028A,31789,2007
Globalstar FM4,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1407,1412,0.000321,52,114,450,350,1500,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-008B,25163,1998
Globalstar FM8,USA,-95.712891,37.09024,Globalstar ,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1415,0.000128,52,114.1,450,350,1500,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-023B,25307,1998
